Site,Date,Temp ,IL,AboveHalophila,BelowHalophila
BHL,Junio2020,29.8,1075.42,10.8,187
BHL,Junio2020,29.8,1075.42,32.5,287.3
BHL,Junio2020,29.8,1075.42,56.9,73.2
BHL,Junio2020,29.8,1075.42,32.5,108.4
BHL,Junio2020,29.8,1075.42,2.7,97.6
BHL,Noviembre2020,29.81,897.56,16.3,287.3
BHL,Noviembre2020,29.81,897.56,67.8,222.2
BHL,Noviembre2020,29.81,897.56,154.5,187
BHL,Noviembre2020,29.81,897.56,94.9,184.3
BHL,Enero2021,28.19,882.49,27.1,2.7
BHL,Enero2021,28.19,882.49,16.3,0
BHL,Enero2021,28.19,882.49,29.8,94.9
BHL,Enero2021,28.19,882.49,10.8,35.2
BHL,Enero2021,28.19,882.49,5.4,65
BHL,Enero2021,28.19,882.49,24.4,75.9
BHL,Enero2021,28.19,882.49,16.3,27.1
BHL,Enero2021,28.19,882.49,0,32.5
BHL,Enero2021,28.19,882.49,40.7,105.7
BHL,Enero2021,28.19,882.49,16.3,70.5
BHL,Abril2021,26.86,593.89,19,62.3
BHL,Abril2021,26.86,593.89,32.5,67.8
BHL,Abril2021,26.86,593.89,13.6,43.4
BHL,Abril2021,26.86,593.89,10.8,135.5
BHL,Abril2021,26.86,593.89,135.5,143.6
BHL,Abril2021,26.86,593.89,24.4,75.9
BHL,Abril2021,26.86,593.89,10.8,149.1
BHL,Abril2021,26.86,593.89,70.5,192.4
BHL,Abril2021,26.86,593.89,24.4,67.8
BHL,Abril2021,26.86,593.89,5.4,5.4
ENO,Junio2020,29.8,1075.42,84,5.4
ENO,Junio2020,29.8,1075.42,2.7,146.3
ENO,Junio2020,29.8,1075.42,29.8,2.7
ENO,Junio2020,29.8,1075.42,122,103
ENO,Junio2020,29.8,1075.42,35.2,157.2
ENO,Junio2020,29.8,1075.42,NA,127.4
ENO,Noviembre2020,30.55,714.2,140.9,113.8
ENO,Noviembre2020,30.55,714.2,149.1,319.8
ENO,Noviembre2020,30.55,714.2,59.6,51.5
ENO,Noviembre2020,30.55,714.2,111.1,81.3
ENO,Noviembre2020,30.55,714.2,5.4,13.6
ENO,Noviembre2020,30.55,714.2,10.8,13.6
ENO,Noviembre2020,30.55,714.2,70.5,19
ENO,Noviembre2020,30.55,714.2,NA,54.2
