Grupo,Cuadrante,Num_Plantas,Num_Inflorecencia,
G1,1,5,10,
G1,1,5,14,
G1,1,5,20,
G1,1,5,15,
G1,1,5,9,
G1,2,4,25,
G1,2,4,22,
G1,2,4,15,
G1,2,4,18,
G1,3,4,10,
G1,3,4,21,
G1,3,4,16,
G1,3,4,13,
G1,4,3,30,
G1,4,3,23,
G1,4,3,16,
G1,5,2,20,
G1,5,2,10,
G1,6,3,16,
G1,6,3,38,
G1,6,3,15,
G1,7,9,17,
G1,7,9,23,
G1,7,9,27,
G1,7,9,35,
G1,7,9,10,
G1,7,9,28,
G1,7,9,14,
G1,7,9,21,
G1,7,9,19,
G1,8,7,15,
G1,8,7,13,
G1,8,7,19,
G1,8,7,30,
G1,8,7,24,
G1,8,7,12,
G1,8,7,16,
G1,9,2,16,
G1,9,2,5,
G1,10,3,17,
G1,10,3,38,
G1,10,3,25,
G1,11,3,29,
G1,11,3,20,
G1,11,3,11,
G1,12,5,23,
G1,12,5,18,
G1,12,5,30,
G1,12,5,16,
G1,12,5,21,
G1,13,2,10,
G1,13,2,18,
G1,14,3,13,
G1,14,3,24,
G1,14,3,12,
G1,15,2,36,
G1,15,2,31,
G1,16,4,34,
G1,16,4,39,
G1,16,4,24,
G1,16,4,27,
G3,1,3,37,Frances Alley Figueroa
G3,1,3,29,Alejandra Figueroa
G3,1,3,38,
G3,2,2,40,
G3,2,2,23,
G3,3,2,51,
G3,3,2,32,
G3,4,2,28,
G3,4,2,17,
G3,5,3,16,
G3,5,3,27,
G3,5,3,10,
G3,6,2,45,
G3,6,2,22,
G3,7,4,35,
G3,7,4,21,
G3,7,4,47,
G3,7,4,15,
G3,8,2,39,
G3,8,2,14,
G3,9,2,20,
G3,9,2,11,
G3,10,1,49,
G3,11,2,13,
G3,11,2,33,
G3,12,3,19,
G3,12,3,27,
G3,12,3,10,
G3,13,1,11,
G3,14,1,30,
G3,15,2,15,
G3,15,2,24,
G3,16,2,17,
G3,16,2,28,
G3,17,1,21,
G3,18,1,60,
G3,19,2,14,
G3,19,2,27,
G3,20,1,12,
G3,21,2,21,
G3,21,2,30,
G3,22,1,31,
G3,23,1,40,
G3,24,3,37,
G3,24,3,5,
G3,24,3,13,
G4,1,1,144,
G4,2,1,22,
G4,3,2,78,
G4,3,2,52,
G4,4,3,105,
G4,4,3,88,
G4,4,3,39,
G4,5,2,102,
G4,5,2,78,
G4,6,1,136,
G4,7,5,35,
G4,7,5,56,
G4,7,5,52,
G4,7,5,22,
G4,7,5,18,
G4,8,3,37,
G4,8,3,66,
G4,8,3,30,
G5,1,2,40,
G5,1,2,32,
G5,2,2,20,
G5,2,2,10,
G5,3,3,10,
G5,3,3,35,
G5,3,3,24,
G5,4,3,10,
G5,4,3,50,
G5,4,3,49,
G5,5,1,9,
G5,6,2,41,
G5,6,2,34,
G5,7,3,21,
G5,7,3,10,
G5,7,3,35,
G5,8,1,12,
G5,9,2,40,
G5,9,2,27,
G5,10,2,30,
G5,10,2,20,
G5,11,2,31,
G5,11,2,22,
G5,12,2,61,
G5,12,2,17,
G5,13,3,5,
G5,13,3,25,
G5,13,3,20,
G5,14,2,19,
G5,14,2,9,
G5,15,3,13,
G5,15,3,35,
G5,15,3,32,
G5,16,3,11,
G5,16,3,25,
G5,16,3,33,
G5,17,2,18,
G5,17,2,28,
G5,18,2,31,
G5,18,2,26,
G5,19,3,20,
G5,19,3,16,
G5,19,3,12,
G5,20,3,16,
G5,20,3,9,
G5,20,3,11,
G5,21,2,8,
G5,21,2,12,
G5,22,3,15,
G5,22,3,10,
G5,22,3,10,
G5,23,2,6,
G5,23,2,4,
G5,24,2,10,
G5,24,2,7,
