totalData,Genus,Epithet,NumFlowers,NumInflor,DSepalWidth,DSepalLength,PetalWidth,PetalLength,LipLength,InflorLength
152,Paphiopedilum,armeniacum,1,1,1.4-3.3,2.2-5,2.5-4.4,2.8-5.5,4-6.5,23-60(peduncle
220,Paphiopedilum,bellatulum,2,1,3.3-5.6,2.7-4,2.7-5.3,4.5-6.3,2.5-4.2,
62,Paphiopedilum,charlesworthii,1,1,4.7-6.6,4.4-5.7,1-1.6,4-4.4,3.8-4.3,8across
60,Paphiopedilum,concolor,1a2,1,2.5 - 3.5,2.5-3.7,2.3-2.7,3.5-4.5,3-3.8,
129,Paphiopedilum,delenatii,1 a2,1,1.8-2.5,1.7-3.5,2.4-3.8,3-4.2,2.5-3.8,22
110,Paphiopedilum,fairrieanum,1,1a2,2.9-7,3.4-8,.9-1.5,4a5,3a5,
89,Paphiopedilum,godefroyae,1 a 2,1,2-4.6,2.5-4.6,2a4,3.5-5.9,2.5-4.2,4.6 - 9
56,Paphiopedilum,hirsutissimum,1,1,2.6-4,3.8-4.5,1.2-2.2,5-5.7,3.5-4.5,11-14across
141,Paphiopedilum,lowii,1,3a7,2.5-3.5,3-5.5,1.5-3.1,5-9.3,,9-16.5across
108,Paphiopedilum,malipoense,1,1,1.8-4.5,4.4-7.1,,,,
247,Paphiopedilum,micranthum,1,1,1.7-3,1.5-3.6,2.3-4.4,1.9-4.3,5-10.4,
99,Paphiopedilum,niveum,1a2,1,3a5,2.7-4.2,2.2-3.9,3.3-4.3,2.2-3.6,6a25long
81,Paphiopedilum,philippinense,2a5,1,2-2.5,4a5,.5a. 7,6-17.5,3.8-4.5,50long
233,Paphiopedilum,rothschildianum,2,2a6,3.3-4.8,5.4-6.8,0.7-1.5,8-14.0,5.3-6,
208,Paphiopedilum,sukhakulii,1,1,2.6-4.4,3.8-5.4,1.5-2.4,5.4-7.3,4.8-6.1,11-14.3across
46,Paphiopedilum,venustum,1,1a2,2.3-2.8,3-3.8,1.2-1.4,4.3-5.4,3.3-4.3,8a9across
103,Paphiopedilum,wardii,1,1,2.5-4.6,4-6.1,1.5-2.5,5-7.9,5-5.6,8.5-12.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Check data for philippiense,,,,,,,,,
,check venustum,,,,,,,,,
